filter,family,size,queries,recall_at_10,perfect_frac,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0077_tau0,anticorr,9900000,1,0.0000,0.0000,319.398,319.398,319.398,61.950,229.092,2.134,26.222,604.25,512.0,2100.0
anticorr_q0077_tau0.01,anticorr,9899838,1,0.4000,0.0000,309.350,309.350,309.350,62.867,228.311,2.136,16.036,604.24,512.0,2100.0
anticorr_q0077_tau0.03,anticorr,9900809,1,1.0000,1.0000,309.714,309.714,309.714,62.675,241.434,2.025,3.580,604.30,512.0,2100.0
anticorr_q0080_tau0,anticorr,9900000,1,0.0000,0.0000,352.919,352.919,352.919,69.652,247.185,1.962,34.119,604.25,512.0,2100.0
anticorr_q0080_tau0.01,anticorr,9900207,1,0.9000,0.0000,331.713,331.713,331.713,64.649,240.584,1.888,24.592,604.26,512.0,2100.0
anticorr_q0080_tau0.03,anticorr,9899376,1,1.0000,1.0000,301.115,301.115,301.115,64.513,228.997,1.715,5.890,604.21,512.0,2100.0
anticorr_q0085_tau0,anticorr,9900000,1,0.0000,0.0000,323.809,323.809,323.809,63.818,229.921,2.078,27.992,604.25,512.0,2100.0
anticorr_q0085_tau0.01,anticorr,9899881,1,0.7000,0.0000,313.851,313.851,313.851,62.614,228.717,1.998,20.522,604.24,512.0,2100.0
anticorr_q0085_tau0.03,anticorr,9899588,1,1.0000,1.0000,298.043,298.043,298.043,62.606,228.778,1.904,4.755,604.22,512.0,2100.0
anticorr_q0095_tau0,anticorr,9900001,1,0.0000,0.0000,320.941,320.941,320.941,62.572,228.909,1.977,27.483,604.25,512.0,2100.0
anticorr_q0095_tau0.01,anticorr,9899707,1,0.6000,0.0000,309.611,309.611,309.611,62.634,229.927,1.868,15.182,604.23,512.0,2100.0
anticorr_q0095_tau0.03,anticorr,9899770,1,0.9000,0.0000,305.537,305.537,305.537,63.420,233.684,2.003,6.431,604.23,512.0,2100.0
anticorr_q0117_tau0,anticorr,9900000,1,0.1000,0.0000,320.861,320.861,320.861,62.980,228.702,1.985,27.194,604.25,512.0,2100.0
